lista,i," i >= -10",return
[],-,"-",-
[],-1,"true",-
[-1],-1,"true",-
[-1],-2,"true",-
"[-1,-2]",-2,"true",-
"[-1,-2]",-3,"true",-
"[-1,-2,-3]",-3,"true",-
"[-1,-2,-3]",-4,"true",-
"[-1,-2,-3,-4]",-4,"true",-
"[-1,-2,-3,-4]",-5,"true",-
"[-1,-2,-3,-4,-5]",-5,"true",-
"[-1,-2,-3,-4,-5]",-6,"true",-
"[-1,-2,-3,-4,-5,-6]",-6,"true",-
"[-1,-2,-3,-4,-5,-6]",-7,"true",-
"[-1,-2,-3,-4,-5,-6,-7]",-7,"true",-
"[-1,-2,-3,-4,-5,-6,-7]",-8,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8]",-8,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8]",-9,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8,-9]",-9,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8,-9]",-10,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8,-9,-10]",-10,"true",-
"[-1,-2,-3,-4,-5,-6,-7,-8,-9,-10]",-11,"false",-
-,-,"-","[-1,-2,-3,-4,-5,-6,-7,-8,-9,-10]"
